_id,clusterID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,sessionID,siteID,spaceID,stationID,timezone,userID,userInputs
5dd88bb1f9af8b7afc4cf5f1,0039,"Wed, 06 Nov 2019 15:28:18 GMT","Wed, 06 Nov 2019 16:41:56 GMT","Wed, 06 Nov 2019 15:58:42 GMT",0.9,2_39_139_567_2019-11-06 15:28:18.090745,0002,CA-513,2-39-139-567,America/Los_Angeles,null,null
5dd88bb1f9af8b7afc4cf5f2,0039,"Wed, 06 Nov 2019 16:03:58 GMT","Wed, 06 Nov 2019 23:49:53 GMT","Wed, 06 Nov 2019 16:35:05 GMT",0.902,2_39_89_25_2019-11-06 16:03:57.792222,0002,CA-315,2-39-89-25,America/Los_Angeles,null,null
5dd88bb1f9af8b7afc4cf5f3,0039,"Wed, 06 Nov 2019 16:13:56 GMT","Wed, 06 Nov 2019 23:39:27 GMT","Wed, 06 Nov 2019 20:40:58 GMT",16.578,2_39_78_366_2019-11-06 16:13:56.185417,0002,CA-323,2-39-78-366,America/Los_Angeles,000003853,"[{""WhPerMile"":360,""kWhRequested"":28.8,""milesRequested"":80,""minutesAvailable"":559,""modifiedAt"":""Wed, 06 Nov 2019 16:14:44 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 01:32:56 GMT"",""userID"":3853}]"
5dd88bb1f9af8b7afc4cf5f4,0039,"Wed, 06 Nov 2019 16:43:07 GMT","Wed, 06 Nov 2019 19:53:23 GMT","Wed, 06 Nov 2019 18:27:43 GMT",5.877,2_39_139_28_2019-11-06 16:43:06.778355,0002,CA-303,2-39-139-28,America/Los_Angeles,000000712,"[{""WhPerMile"":400,""kWhRequested"":16.0,""milesRequested"":40,""minutesAvailable"":332,""modifiedAt"":""Wed, 06 Nov 2019 16:43:12 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 22:15:07 GMT"",""userID"":712}]"
5dd88bb1f9af8b7afc4cf5f5,0039,"Wed, 06 Nov 2019 16:48:56 GMT","Thu, 07 Nov 2019 02:26:46 GMT","Wed, 06 Nov 2019 19:22:13 GMT",16.297,2_39_79_379_2019-11-06 16:48:56.229360,0002,CA-327,2-39-79-379,America/Los_Angeles,000001104,"[{""WhPerMile"":250,""kWhRequested"":37.5,""milesRequested"":150,""minutesAvailable"":436,""modifiedAt"":""Wed, 06 Nov 2019 16:49:26 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 00:04:56 GMT"",""userID"":1104}]"
5dd88bb1f9af8b7afc4cf5f6,0039,"Wed, 06 Nov 2019 16:56:53 GMT","Thu, 07 Nov 2019 00:54:54 GMT","Wed, 06 Nov 2019 18:15:26 GMT",8.578,2_39_92_442_2019-11-06 16:56:53.315322,0002,CA-498,2-39-92-442,America/Los_Angeles,000001470,"[{""WhPerMile"":292,""kWhRequested"":11.68,""milesRequested"":40,""minutesAvailable"":395,""modifiedAt"":""Wed, 06 Nov 2019 16:57:05 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 23:31:53 GMT"",""userID"":1470}]"
5dd88bb1f9af8b7afc4cf5f7,0039,"Wed, 06 Nov 2019 17:02:22 GMT","Wed, 06 Nov 2019 20:13:02 GMT","Wed, 06 Nov 2019 17:56:25 GMT",2.67,2_39_79_377_2019-11-06 17:02:22.360563,0002,CA-325,2-39-79-377,America/Los_Angeles,000000858,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":223,""modifiedAt"":""Wed, 06 Nov 2019 17:02:53 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 20:45:22 GMT"",""userID"":858},{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":254,""modifiedAt"":""Wed, 06 Nov 2019 17:39:48 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 21:16:22 GMT"",""userID"":858}]"
5dd88bb1f9af8b7afc4cf5f8,0039,"Wed, 06 Nov 2019 17:05:23 GMT","Thu, 07 Nov 2019 00:04:33 GMT","Wed, 06 Nov 2019 17:59:22 GMT",5.613,2_39_124_22_2019-11-06 17:05:23.186602,0002,CA-312,2-39-124-22,America/Los_Angeles,000001912,"[{""WhPerMile"":400,""kWhRequested"":20.0,""milesRequested"":50,""minutesAvailable"":350,""modifiedAt"":""Wed, 06 Nov 2019 17:05:27 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 22:55:23 GMT"",""userID"":1912}]"
5dd88bb1f9af8b7afc4cf5f9,0039,"Wed, 06 Nov 2019 17:08:56 GMT","Thu, 07 Nov 2019 01:21:00 GMT","Wed, 06 Nov 2019 19:04:39 GMT",6.405,2_39_123_23_2019-11-06 17:08:56.215874,0002,CA-313,2-39-123-23,America/Los_Angeles,000000567,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":523,""modifiedAt"":""Wed, 06 Nov 2019 17:09:29 GMT"",""paymentRequired"":true,""requestedDeparture"":""Thu, 07 Nov 2019 01:51:56 GMT"",""userID"":567}]"
5dd88bb1f9af8b7afc4cf5fa,0039,"Wed, 06 Nov 2019 17:19:24 GMT","Thu, 07 Nov 2019 03:31:40 GMT","Wed, 06 Nov 2019 18:27:55 GMT",2.236,2_39_91_437_2019-11-06 17:19:24.459182,0002,CA-317,2-39-91-437,America/Los_Angeles,000000324,"[{""WhPerMile"":400,""kWhRequested"":8.0,""milesRequested"":20,""minutesAvailable"":168,""modifiedAt"":""Wed, 06 Nov 2019 17:19:37 GMT"",""paymentRequired"":true,""requestedDeparture"":""Wed, 06 Nov 2019 20:07:24 GMT"",""userID"":324}]"
